Y_pred,Y_real,Mean,,,,,,,,,,,,,,,
42.2186882,43.7,1.481311797,,,,Y_pred,Y_real,Mean,,스태킹 앙상블 모델을 통한 회귀예측,,,,릿지 모델을 통한 회귀예측,,,
41.92843727,44.4,2.471562734,,,,,,,,,,,,,,,
27.16265778,21,6.162657782,,,,,,,,,,,,,,,
23.27421938,25.1,1.825780624,,,,,,,,,,,,,,,
36.31967053,34,2.319670527,,,,,,,,,,,,,,,
27.6406006,25.2,2.440600603,,,,,,,,,,,,,,,
42.91247602,47.7,4.787523979,,,,,,,,,,,,,,,
57.09659082,58,0.903409176,,,,,,,,,,,,,,,
36.49761165,30.7,5.797611652,,,,,,,,,,,,,,,
38.10671591,38,0.106715909,,,,,,,,,,,,,,,
34.62269796,30.6,4.022697963,,,,,,,,,,,,,,,
55.72729895,65,9.272701049,,,,,,,,,,,,,,,
61.56851332,60.7,0.868513315,,,,,,,,,,,,,,,
33.93388086,38.4,4.466119136,,,,,,,,,,,,,,,
40.72424593,46.9,6.17575407,,,,,,,,,,,,,,,
44.53692054,46.2,1.663079456,,,,,,,,,,,,,,,
45.69348168,46.1,0.406518317,,,,,,,,,,,,,,,
29.36045805,30.9,1.539541949,,,,,,,,,,,,,,,
57.06850532,60.4,3.331494683,,,,,,,,,,,,,,,
29.40321428,34.9,5.496785722,,,,,,,,,,,,,,,
30.25053073,29.8,0.450530733,,,,,,,,,,,,,,,
49.16979845,46.4,2.769798451,,,,,,,,,,,,,,,
47.01937189,46.1,0.919371889,,,,,,,,,,,,,,,
25.99905586,27,1.000944137,,,,,,,,,,,,,,,
24.61007748,27,2.389922522,,,,,,,,,,,,,,,
60.84399125,68,7.156008753,,,,,,,,,,,,,,,
33.07997626,22.7,10.37997626,,,,,,,,,,,,,,,
