Date,상권_코드_명,총_상주인구_수
2019_1,구로동로7길,2646
2019_1,구로동로42길,1936
2019_1,구로동로41길,2508
2019_1,구로동로38길,1903
2019_1,구로동로28길,2031
2019_1,구로동로15길,982
2019_1,공원로6가길,2119
2019_1,고척로52길,3170
2019_1,고척로27다길,4462
2019_1,고척로27길,2513
2019_1,고척로21나길,2594
2019_1,경인로47길,2030
2019_1,경인로35길,3027
2019_1,경인로31길,1833
2019_1,경인로15길,3435
2019_1,개봉로3길,2996
2019_1,개봉로2길,2287
2019_1,개봉로23가길,2487
2019_1,개봉로20길,3693
2019_1,개봉로1길,2206
2019_1,개봉로17다길,3350
2019_1,개봉로17길,5679
2019_1,개봉로11길,5293
2019_1,화곡로64길,4287
2019_1,화곡로59길,2633
2019_1,화곡로44나길,3088
2019_1,화곡로31길,3946
2019_1,화곡로20길,3353
2019_1,화곡로13길,3440
2019_1,초원로16길,3533
2019_1,초록마을로8길,4948
2019_1,초록마을로3길,2874
2019_1,월정로20길,2545
2019_1,우장산로6길,5368
2019_1,양천로73가길,2749
2019_1,양천로71길,6658
2019_1,양천로49길,1311
2019_1,양천로26길,2015
2019_1,양천로24길,3790
2019_1,양천로24가길,2885
2019_1,양천로14길,4264
2019_1,방화대로6라길,2362
2019_1,방화대로21길,2475
2019_1,등촌로5길,1439
2019_1,등촌로55길,2958
2019_1,등촌로51길,2072
2019_1,등촌로39길,3389
2019_1,등촌로13길,3936
2019_1,남부순환로11길,4071
2019_1,까치산로4길,4286
2019_1,국회대로7길,2331
2019_1,공항대로8길,3118
2019_1,공항대로61길,2010
