"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","당월_매출_건수","점포수","공실률","임대료"
"2014_2","종로",11110615,"종로·청계 관광특구",7090097,1553,29620,129,57,188582872575,7248487,4177,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로3가역_2",1660534,371,1873,109,51,34364463746,1535239,836,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로3가역_3",903616,151,2839,114,48,11993066571,430548,333,10.5,90.3
"2014_2","종로",11110615,"광장시장",268042,0,200,173,74,13266428861,189372,550,10.5,90.3
"2014_2","종로",11110615,"인사동",489275,249,21645,127,56,76482387622,2871369,1348,10.5,90.3
"2014_2","종로",11110615,"종각역 젊음의 거리",1132556,0,1736,98,50,72732763365,3369935,648,10.5,90.3
"2014_2","종로",11110615,"돈화문로11가길",112965,761,1028,99,45,6430414687,217379,162,10.5,90.3
"2014_2","종로",11110615,"율곡로10길",53577,65,2100,114,46,1650276852,64765,59,10.5,90.3
"2014_2","종로",11110630,"서울 종로구 종로5가역_3",1234101,78,5125,121,49,20006981884,1044701,463,10.5,90.3
"2014_2","종로",11110630,"서울 종로구 종로5가역_1",460864,0,49,127,65,4247441548,134949,73,10.5,90.3
"2014_2","종로",11110630,"충신시장",32967,19,334,145,62,1158219805,12987,19,10.5,90.3
"2014_2","종로",11110630,"종로신진시장",190955,4,20,129,59,12105985142,289482,303,10.5,90.3
"2014_2","종로",11110630,"동대문시장_2",434908,0,461,130,63,13239089454,183925,153,10.5,90.3
"2014_2","종로",11110630,"서울 종로구 종로5가역_2",1335452,537,14491,94,51,32216857744,1497662,608,10.5,90.3
"2014_2","종로",11110630,"율곡로16길",132966,219,69,133,55,977400145,105167,32,10.5,90.3
"2014_2","천호",11740600,"천중로39길",546580,5697,652,72,49,2543551941,185049,112,4,38.3
"2014_2","천호",11740600,"양재대로133길",117996,5263,265,87,43,2267135057,213359,112,4,38.3
"2014_2","천호",11740600,"구천면로36길",154411,3261,36,80,45,2098570903,99799,110,4,38.3
"2014_2","천호",11740600,"구천면로42길",478794,4877,323,103,48,2693621925,185503,107,4,38.3
"2014_2","천호",11740610,"천호시장",41011,14,6,128,53,4944109915,132749,138,4,38.3
"2014_2","천호",11740610,"올림픽로77길",579142,3083,8,98,46,1720267260,115672,81,4,38.3
"2014_2","천호",11740610,"서울 강동구 천호역_2",1136521,1938,3669,83,43,78072922944,3960600,1591,4,38.3
"2014_2","천호",11740610,"올림픽로71길",156845,3544,246,82,42,2277808451,60565,61,4,38.3
"2014_2","천호",11740610,"구천면로41길",451600,4951,540,75,38,4191579159,224135,188,4,38.3
"2014_2","천호",11740610,"상암로4길",196497,4549,209,75,42,6947463878,278737,180,4,38.3
"2014_2","천호",11740610,"상암로14길",179315,2855,398,91,40,6592856060,225870,138,4,38.3
"2014_2","천호",11740620,"진황도로27길",455317,7911,375,79,45,4132305478,315912,128,4,38.3
"2014_2","청담",11680565,"학동사거리_2",279136,455,2804,81,37,11838118726,309247,111,10.6,69
"2014_2","청담",11680565,"청담사거리_2",233839,307,1014,85,49,13077272019,489545,129,10.6,69
"2014_2","청담",11680565,"청담역_2",65976,438,1746,90,43,10223428117,410070,159,10.6,69
"2014_2","청담",11680565,"도산대로81길",73001,771,4344,76,42,9961058853,116696,121,10.6,69
"2014_2","청담",11680565,"학동로77길",142604,1972,2948,88,45,14691216631,337877,138,10.6,69
"2014_2","청담",11680565,"선릉로146길",413006,3381,1651,72,39,13101731594,578445,155,10.6,69
"2014_2","청담",11680565,"삼성로147길",97040,1624,956,81,45,3185685429,213250,63,10.6,69
"2014_2","청담",11680565,"도산대로89길",63110,893,2540,67,43,6007858598,224913,119,10.6,69
"2014_2","청담",11680565,"압구정 로데오거리_1",751914,768,7296,81,41,86890016346,1330635,773,10.6,69
"2014_2","청담",11680565,"청담역_1",110626,166,205,78,42,11784521758,798129,98,10.6,69
"2014_2","청담",11680565,"청담사거리_3",253597,255,1333,79,45,23661452612,784044,204,10.6,69
"2014_2","청담",11680565,"선릉로132길",502211,2176,947,86,44,8474049688,447311,167,10.6,69
"2014_2","청량리",11230705,"제기로21길",136466,249,221,110,58,984320980,68439,44,6.7,43.1
"2014_2","청량리",11230705,"왕산로43길",477459,2359,932,91,44,5234518792,206416,144,6.7,43.1
"2014_2","충무로",11140570,"서울 중구 충무로역_1",679029,259,2676,103,53,24802020322,1751202,457,7.3,28.8
"2014_2","충무로",11140570,"서울 중구 충무로역_2",1217087,352,16168,131,51,33436993429,1367483,807,7.3,28.8
"2014_2","테헤란로",11680580,"영동대로112길",452262,2470,451,99,47,11939737165,720866,109,5.3,46.4
"2014_2","테헤란로",11680580,"삼성역_3",188335,0,8740,103,47,17276024575,1413344,173,5.3,46.4
"2014_2","테헤란로",11680580,"봉은사로109길",187383,2026,322,75,45,990111456,70462,28,5.3,46.4
"2014_2","테헤란로",11680580,"포스코사거리_2",791401,829,7834,87,47,31567635289,1501841,357,5.3,46.4
"2014_2","테헤란로",11680580,"테헤란로81길",172016,1036,520,87,42,24685507122,891043,214,5.3,46.4
"2014_2","테헤란로",11680590,"선정릉역_2",288712,1392,5629,81,40,13830924464,1055471,179,5.3,46.4
"2014_2","테헤란로",11680590,"선정릉역_1",106867,461,1363,79,40,2692979954,120040,53,5.3,46.4
"2014_2","테헤란로",11680590,"봉은사로57길",106305,393,682,75,39,1885992226,114609,49,5.3,46.4
"2014_2","테헤란로",11680590,"봉은사로68길",169850,1556,190,76,38,4996982910,230960,94,5.3,46.4
"2014_2","테헤란로",11680590,"서울 강남구 선릉역_1",638132,1784,18377,84,43,24623519404,1262853,318,5.3,46.4
"2014_2","테헤란로",11680590,"포스코사거리_1",1348212,2747,33834,77,40,26209146752,1631885,493,5.3,46.4
"2014_2","테헤란로",11680590,"삼성로115길",228064,2258,313,81,41,5478322686,266812,142,5.3,46.4
"2014_2","테헤란로",11680590,"학동로56길",268296,389,847,77,42,9590412934,341851,231,5.3,46.4
"2014_2","테헤란로",11680610,"삼성로64길",192786,2494,546,79,39,9010933234,297146,134,5.3,46.4
"2014_2","테헤란로",11680610,"영동대로65길",302274,1977,2781,92,41,7837716380,339476,118,5.3,46.4
"2014_2","테헤란로",11680610,"삼성역_2",269693,408,17519,91,48,10082692449,672022,101,5.3,46.4
"2014_2","테헤란로",11680610,"은마아파트입구사거리_4",130677,465,59,75,38,10712725831,330515,103,5.3,46.4
"2014_2","테헤란로",11680610,"삼성역_1",1147295,4267,26418,86,41,35406132393,1602241,523,5.3,46.4
"2014_2","테헤란로",11680630,"서울 강남구 한티역",249073,1738,1366,72,44,37236035423,2104924,679,5.3,46.4
"2014_2","테헤란로",11680630,"삼성로75길",598799,2385,2533,67,37,6799492678,273913,117,5.3,46.4
"2014_2","테헤란로",11680630,"선릉역_2",3576342,4705,19698,73,40,81299118012,3883125,1183,5.3,46.4
"2014_2","테헤란로",11680630,"삼성로63길",377601,3921,152,74,38,9917344464,282630,205,5.3,46.4
"2014_2","테헤란로",11680630,"삼성로69길",551302,2850,238,73,40,12516004050,369537,268,5.3,46.4
"2014_2","테헤란로",11680640,"서울 강남구 강남역",1901037,694,39667,77,39,84908842318,4344411,872,5.3,46.4
"2014_2","테헤란로",11680640,"서울 강남구 선릉역_2",1231191,1807,6703,77,37,57513862439,2206610,958,5.3,46.4
"2014_2","테헤란로",11680640,"서울 서초구 강남역",3114870,2680,31373,75,40,185504189503,8713957,2254,5.3,46.4
"2014_2","테헤란로",11680640,"논현로63길",263989,1666,9551,86,42,9305193733,364171,171,5.3,46.4
