Date,상권,행정동_코드,공실률
2016_1,천호,11740610,4
2016_1,천호,11740620,4
2016_1,청량리,11230705,8.7
2016_1,혜화동,11110650,2.8
2016_1,화곡,11500540,18.9
2016_1,화곡,11500550,18.9
2016_1,화곡,11500560,18.9
2016_1,화곡,11500570,18.9
2016_1,화곡,11500590,18.9
2016_1,화곡,11500591,18.9
2016_1,화곡,11500615,18.9
2016_1,화곡,11500593,18.9
2016_2,광화문,11110530,2.9
2016_2,동대문,11110670,11.1
2016_2,명동,11140550,11.2
2016_2,종로,11110615,9.8
2016_2,종로,11110630,9.8
2016_2,충무로,11140570,5.1
2016_2,서초,11650510,5.3
2016_2,서초,11650520,5.3
2016_2,서초,11650530,5.3
2016_2,서초,11650531,5.3
2016_2,청담,11680565,11
2016_2,테헤란로,11680640,6.4
2016_2,테헤란로,11680650,6.4
2016_2,테헤란로,11680630,6.4
2016_2,테헤란로,11680610,6.4
2016_2,테헤란로,11680580,6.4
2016_2,테헤란로,11680590,6.4
2016_2,공덕역,11440565,10.9
2016_2,신촌,11410585,7.9
2016_2,영등포,11560535,9.3
2016_2,영등포,11560515,9.3
2016_2,홍대합정,11440660,5.9
2016_2,건대입구,11215710,1.3
2016_2,건대입구,11215840,1.3
2016_2,건대입구,11215820,1.3
2016_2,경희대,11230710,0.4
2016_2,경희대,11230740,0.4
2016_2,군자,11215780,3.1
2016_2,군자,11215730,3.1
2016_2,군자,11215740,3.1
2016_2,군자,11215750,3.1
2016_2,목동,11470510,6.1
2016_2,목동,11470520,6.1
2016_2,목동,11470530,6.1
2016_2,목동,11470540,6.1
2016_2,목동,11470550,6.1
2016_2,사당,11590620,2.1
2016_2,사당,11650610,2.1
2016_2,사당,11620630,2.1
2016_2,성신여대,11290575,13.4
2016_2,성신여대,11290600,13.4
2016_2,수유,11305610,14.8
2016_2,수유,11305620,14.8
2016_2,수유,11305630,14.8
2016_2,용산,11170530,7.5
2016_2,용산,11170520,7.5
2016_2,용산,11170625,7.5
2016_2,용산,11170690,7.5
2016_2,이태원,11170650,12.6
2016_2,이태원,11170660,12.6
2016_2,잠실,11710650,7.4
2016_2,잠실,11710670,7.4
2016_2,잠실,11710680,7.4
2016_2,잠실,11710690,7.4
2016_2,잠실,11710710,7.4
2016_2,잠실,11710720,7.4
2016_2,장안동,11230650,6.7
2016_2,장안동,11230660,6.7
2016_2,천호,11740600,4
2016_2,천호,11740610,4
2016_2,천호,11740620,4
2016_2,청량리,11230705,8.2
2016_2,혜화동,11110650,5
2016_2,화곡,11500540,18.9
2016_2,화곡,11500550,18.9
2016_2,화곡,11500560,18.9
2016_2,화곡,11500570,18.9
2016_2,화곡,11500590,18.9
2016_2,화곡,11500591,18.9
2016_2,화곡,11500615,18.9
2016_2,화곡,11500593,18.9
2016_3,광화문,11110530,2.1
2016_3,동대문,11110670,10.3
2016_3,명동,11140550,8
2016_3,종로,11110615,9.8
2016_3,종로,11110630,9.8
2016_3,충무로,11140570,5.1
2016_3,서초,11650510,5.3
2016_3,서초,11650520,5.3
2016_3,서초,11650530,5.3
2016_3,서초,11650531,5.3
2016_3,청담,11680565,11
2016_3,테헤란로,11680640,8.9
2016_3,테헤란로,11680650,8.9
2016_3,테헤란로,11680630,8.9
2016_3,테헤란로,11680610,8.9
2016_3,테헤란로,11680580,8.9
2016_3,테헤란로,11680590,8.9
2016_3,공덕역,11440565,6.1
2016_3,신촌,11410585,6.3
2016_3,영등포,11560535,11.3
2016_3,영등포,11560515,11.3
2016_3,홍대합정,11440660,12.7
2016_3,건대입구,11215710,3.1
2016_3,건대입구,11215840,3.1
2016_3,건대입구,11215820,3.1
2016_3,경희대,11230710,0.4
2016_3,경희대,11230740,0.4
2016_3,군자,11215780,4.7
2016_3,군자,11215730,4.7
2016_3,군자,11215740,4.7
2016_3,군자,11215750,4.7
2016_3,목동,11470510,11.2
2016_3,목동,11470520,11.2
2016_3,목동,11470530,11.2
2016_3,목동,11470540,11.2
2016_3,목동,11470550,11.2
2016_3,사당,11590620,1.6
2016_3,사당,11650610,1.6
2016_3,사당,11620630,1.6
2016_3,성신여대,11290575,12.9
2016_3,성신여대,11290600,12.9
2016_3,수유,11305610,12.3
2016_3,수유,11305620,12.3
2016_3,수유,11305630,12.3
2016_3,용산,11170530,7.6
2016_3,용산,11170520,7.6
2016_3,용산,11170625,7.6
2016_3,용산,11170690,7.6
2016_3,이태원,11170650,12.6
2016_3,이태원,11170660,12.6
2016_3,잠실,11710650,7
2016_3,잠실,11710670,7
2016_3,잠실,11710680,7
2016_3,잠실,11710690,7
2016_3,잠실,11710710,7
2016_3,잠실,11710720,7
2016_3,장안동,11230650,7
2016_3,장안동,11230660,7
2016_3,천호,11740600,4
2016_3,천호,11740610,4
2016_3,천호,11740620,4
2016_3,청량리,11230705,8.1
2016_3,혜화동,11110650,5.3
2016_3,화곡,11500540,15.8
2016_3,화곡,11500550,15.8
2016_3,화곡,11500560,15.8
2016_3,화곡,11500570,15.8
2016_3,화곡,11500590,15.8
2016_3,화곡,11500591,15.8
2016_3,화곡,11500615,15.8
2016_3,화곡,11500593,15.8
2016_4,광화문,11110530,2.1
2016_4,동대문,11110670,10.4
2016_4,명동,11140550,5.1
2016_4,종로,11110615,10.2
2016_4,종로,11110630,10.2
2016_4,충무로,11140570,5.1
2016_4,서초,11650510,3.6
2016_4,서초,11650520,3.6
2016_4,서초,11650530,3.6
2016_4,서초,11650531,3.6
2016_4,청담,11680565,11.4
2016_4,테헤란로,11680640,8.9
2016_4,테헤란로,11680650,8.9
2016_4,테헤란로,11680630,8.9
2016_4,테헤란로,11680610,8.9
2016_4,테헤란로,11680580,8.9
2016_4,테헤란로,11680590,8.9
2016_4,공덕역,11440565,6.1
2016_4,신촌,11410585,5.5
2016_4,영등포,11560535,12.4
2016_4,영등포,11560515,12.4
2016_4,홍대합정,11440660,12.7
2016_4,건대입구,11215710,3.4
2016_4,건대입구,11215840,3.4
