총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
174511,2320,103,76,42,1436875250,49,30.4,2.3
169925,1892,202,92,43,3636610670,84,30.4,2.3
66496,3101,164,104,47,872010785,44,53.6,1.9
297192,2224,1329,97,42,11599272867,116,53.6,1.9
148559,1344,323,72,43,4397939840,128,53.6,1.9
256935,933,385,97,46,22614427319,320,53.6,1.9
122652,3363,251,84,39,1647643162,59,53.6,1.9
287025,3835,1711,88,47,12039234062,267,53.6,1.9
238772,1479,521,101,52,6885595570,85,53.6,1.9
72968,3697,499,82,47,3448528222,45,53.6,1.9
158923,1867,211,90,47,3744902170,66,53.6,1.9
64419,5434,276,122,58,424220643,23,53.6,1.9
186716,3159,1882,73,45,3091627346,90,53.6,1.9
334249,701,3890,88,47,31322599207,388,53.6,1.9
211158,3265,848,86,49,5793036551,109,53.6,1.9
45864,1088,1572,88,47,6600270549,136,53.6,1.9
221027,3001,5426,103,42,6075576016,76,30.7,3.3
67919,1106,518,95,47,3011484024,44,30.7,3.3
148198,1128,1552,88,44,5626803982,112,30.7,3.3
284277,1459,11537,99,41,6472493160,125,30.7,3.3
160610,872,1594,93,44,10996466451,166,30.7,3.3
725061,1861,3263,86,46,31415121483,413,30.7,3.3
197550,1033,738,118,50,36152101739,525,30.7,3.3
45343,219,11056,87,54,6144364406,69,30.7,3.3
750930,2768,13151,90,44,63899135400,1013,30.7,3.3
303075,3543,11095,93,44,27064115356,526,30.7,3.3
787000,2259,7547,103,44,13841565595,148,30.7,3.3
378968,1543,1584,111,47,8802860451,102,30.7,3.3
190303,1454,706,99,41,5228423070,101,30.7,3.3
1697910,3214,6456,89,43,1.29E+11,1126,30.7,3.3
613918,880,4907,89,51,35020427675,388,30.7,3.3
105979,1804,194,93,37,6131640845,102,30.7,3.3
450908,2534,3194,87,44,27024448240,473,30.7,3.3
791936,2465,137795,77,43,52736005940,655,30.7,3.3
319579,1838,10273,91,43,21853795210,375,30.7,3.3
249306,193,4376,93,43,10788489403,128,30.7,3.3
174782,1662,966,72,42,4890933553,122,41.3,9.8
245502,3419,697,86,50,6934423665,169,41.3,9.8
168086,2026,663,85,51,4554866333,84,41.3,9.8
909018,952,4859,94,46,45575334898,722,41.3,9.8
233381,1139,68,93,48,3727375041,65,41.3,9.8
198718,2153,244,95,42,4494630802,124,41.3,9.8
240948,1124,2756,83,46,9773589832,127,41.3,9.8
142177,2011,26,75,54,1607955681,54,41.3,9.8
208852,2061,2997,99,58,2295938081,47,41.3,9.8
119188,2624,550,97,50,2151791870,35,41.3,9.8
321452,516,91,87,45,12628926474,124,41.3,9.8
485539,740,347,91,52,17667573942,275,41.3,9.8
136911,2285,245,88,40,3957891208,149,54.9,17.2
254185,574,455,122,56,16996482215,303,54.9,17.2
198110,3701,403,88,51,1462680508,50,54.9,17.2
87846,2981,31,107,47,457261503,42,54.9,17.2
110188,1893,155,89,51,3290027003,113,54.9,17.2
130523,1625,59,80,35,1966390677,55,54.9,17.2
49506,850,55,99,52,5143886227,96,54.9,17.2
99389,2542,171,75,40,1251309725,48,54.9,17.2
120740,3929,669,82,37,1742256704,89,54.9,17.2
1315805,1506,4014,84,47,48465835442,631,54.9,17.2
