"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","점포수","공실률","임대료"
"2014_2","장안동",11230660,"장안동사거리",695369,2003,479,80,40,32189651444,618,2.6,26.1
"2014_2","장안동",11230660,"답십리로63길",113934,2624,67,89,47,1111959712,58,2.6,26.1
"2014_2","장안동",11230660,"장한로26가길",93756,1259,292,90,38,4283941696,87,2.6,26.1
"2014_2","장안동",11230660,"답십리로69길",183310,1588,663,85,39,12735030958,149,2.6,26.1
"2014_2","장안동",11230660,"장한로27가길",99118,1978,358,107,38,3514414234,70,2.6,26.1
"2014_2","장안동",11230660,"장한로27길",151249,2095,143,92,41,4265597288,103,2.6,26.1
"2014_2","장안동",11230660,"한천로46길",275117,2003,357,78,42,3540741285,83,2.6,26.1
"2014_2","장안동",11230660,"사가정로23가길",157600,2500,102,88,46,3353653371,115,2.6,26.1
"2014_2","장안동",11230660,"한천로40길",345939,2415,280,104,44,2673844947,84,2.6,26.1
"2014_2","종로",11110615,"종로구청",632371,113,14961,107,56,57341063819,813,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로3가역_1",362721,80,3295,107,50,19280101626,393,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로5가역_4",101661,166,620,131,57,7172966959,210,10.5,90.3
"2014_2","종로",11110615,"종로·청계 관광특구",7090097,1553,29620,129,57,188582872575,4177,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로3가역_2",1660534,371,1873,109,51,34364463746,836,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로3가역_3",903616,151,2839,114,48,11993066571,333,10.5,90.3
"2014_2","종로",11110615,"광장시장",268042,0,200,173,74,13266428861,550,10.5,90.3
"2014_2","종로",11110615,"인사동",489275,249,21645,127,56,76482387622,1348,10.5,90.3
"2014_2","종로",11110615,"종각역 젊음의 거리",1132556,0,1736,98,50,72732763365,648,10.5,90.3
"2014_2","종로",11110615,"돈화문로11가길",112965,761,1028,99,45,6430414687,162,10.5,90.3
"2014_2","종로",11110615,"율곡로10길",53577,65,2100,114,46,1650276852,59,10.5,90.3
"2014_2","종로",11110630,"서울 종로구 종로5가역_3",1234101,78,5125,121,49,20006981884,463,10.5,90.3
"2014_2","종로",11110630,"서울 종로구 종로5가역_1",460864,0,49,127,65,4247441548,73,10.5,90.3
"2014_2","종로",11110630,"충신시장",32967,19,334,145,62,1158219805,19,10.5,90.3
"2014_2","종로",11110630,"종로신진시장",190955,4,20,129,59,12105985142,303,10.5,90.3
"2014_2","종로",11110630,"동대문시장_2",434908,0,461,130,63,13239089454,153,10.5,90.3
"2014_2","종로",11110630,"서울 종로구 종로5가역_2",1335452,537,14491,94,51,32216857744,608,10.5,90.3
