Date,상권,임대료
2018_1,장안동,21
2018_1,천호,35.8
2018_1,청량리,45.9
2018_1,혜화동,73.4
2018_1,화곡,26.9
2018_2,광화문,69.7
2018_2,동대문,36.4
2018_2,명동,271.7
2018_2,서울역,87.5
2018_2,종로,83.7
2018_2,충무로,43.7
2018_2,소계,75.5
2018_2,강남대로,139.4
2018_2,논현역,38.9
2018_2,도산대로,44.8
2018_2,서초,27.8
2018_2,신사역,75.9
2018_2,압구정,56.2
2018_2,청담,67.6
2018_2,테헤란로,46.9
2018_2,소계,52.2
2018_2,공덕역,41.6
2018_2,신촌,57.8
2018_2,영등포,39.2
2018_2,홍대합정,68.5
2018_2,소계,45.7
2018_2,건대입구,64.9
2018_2,경희대,43.9
2018_2,군자,29.9
2018_2,목동,34
2018_2,불광역,37.1
2018_2,사당,59.8
2018_2,서울대입구역,64
2018_2,성신여대,44.4
2018_2,수유,54.7
2018_2,신림역,74
2018_2,오류동역,46.9
2018_2,왕십리,39
2018_2,용산,25.1
2018_2,이태원,47.5
2018_2,잠실,43.3
2018_2,장안동,21
2018_2,천호,35.9
2018_2,청량리,46.6
2018_2,혜화동,72.3
2018_2,화곡,27
2018_3,광화문,70
2018_3,동대문,36.4
2018_3,명동,269.7
2018_3,서울역,87.5
2018_3,종로,84.6
2018_3,충무로,43.7
2018_3,소계,75.5
2018_3,강남대로,139.2
2018_3,논현역,39.2
2018_3,도산대로,44.8
2018_3,서초,27.7
2018_3,신사역,76.1
2018_3,압구정,56.2
2018_3,청담,67.5
2018_3,테헤란로,46.9
2018_3,소계,52.2
2018_3,공덕역,41.6
2018_3,신촌,57.8
2018_3,영등포,39.2
2018_3,홍대합정,68.4
2018_3,소계,45.7
2018_3,건대입구,65
2018_3,경희대,44.1
2018_3,군자,29.9
2018_3,목동,34.6
2018_3,불광역,37.2
2018_3,사당,58.9
2018_3,서울대입구역,64.1
2018_3,성신여대,44.5
2018_3,수유,56.1
2018_3,신림역,73.5
2018_3,오류동역,46.9
2018_3,왕십리,39
2018_3,용산,25.1
2018_3,이태원,47.5
2018_3,잠실,43.5
2018_3,장안동,20.9
2018_3,천호,35.4
2018_3,청량리,46.6
2018_3,혜화동,72.3
2018_3,화곡,27
2018_4,광화문,70.1
2018_4,동대문,36.4
2018_4,명동,257.6
2018_4,서울역,87.5
2018_4,종로,84.9
2018_4,충무로,43.7
2018_4,소계,75.4
2018_4,강남대로,139.2
2018_4,논현역,39.2
2018_4,도산대로,44.8
2018_4,서초,27.8
2018_4,신사역,76.2
2018_4,압구정,56.1
2018_4,청담,66.4
2018_4,테헤란로,46.9
2018_4,소계,52.2
2018_4,공덕역,42.1
2018_4,신촌,57.7
2018_4,영등포,39.2
2018_4,홍대합정,68.4
2018_4,소계,45.5
2018_4,건대입구,65.1
2018_4,경희대,44.1
2018_4,군자,29.9
2018_4,목동,34.3
2018_4,불광역,37.4
2018_4,사당,58.7
2018_4,서울대입구역,64.9
2018_4,성신여대,43.9
2018_4,수유,56.1
2018_4,신림역,72.3
2018_4,오류동역,46.9
2018_4,왕십리,39.1
2018_4,용산,25.1
2018_4,이태원,47.5
2018_4,잠실,43.5
2018_4,장안동,20.9
2018_4,천호,35.4
2018_4,청량리,46.6
2018_4,혜화동,69.3
2018_4,화곡,27
2019_1,광화문,87.2
2019_1,남대문,88
2019_1,동대문,36.6
2019_1,명동,295.1
2019_1,시청,66.8
2019_1,을지로,42
2019_1,종로,79.7
2019_1,충무로,43.4
2019_1,소계,72.4
2019_1,강남대로,125.3
2019_1,논현역,38.7
2019_1,도산대로,44.5
2019_1,서초,27.4
2019_1,신사역,84.3
2019_1,압구정,55.8
2019_1,청담,55.9
2019_1,테헤란로,47.7
2019_1,소계,52
2019_1,공덕역,44.7
2019_1,신촌,56.7
2019_1,영등포,39.3
2019_1,홍대합정,67.7
2019_1,소계,46.2
2019_1,건대입구,64.2
2019_1,경희대,46.1
