Date,상권,공실률,공실률_예측_머신러닝,공실률_예측_딥러닝,공실률_차이_머신,공실률_차이_딥
2017_4,공덕역,5.3,6.918 ,5.118 ,1.618 ,0.182 
2017_4,광화문,1.1,1.763 ,1.836 ,0.663 ,0.736 
2017_4,군자,5.7,6.829 ,5.171 ,1.129 ,0.529 
2017_4,논현역,1.7,6.736 ,2.717 ,5.036 ,1.017 
2017_4,동대문,10.9,12.467 ,10.365 ,1.567 ,0.535 
2017_4,명동,5.4,6.289 ,7.301 ,0.889 ,1.901 
2017_4,목동,5.8,7.355 ,6.125 ,1.555 ,0.325 
2017_4,불광역,3.8,5.254 ,3.608 ,1.454 ,0.192 
2017_4,사당,0.9,4.530 ,1.487 ,3.630 ,0.587 
2017_4,서초,6.9,8.762 ,8.370 ,1.862 ,1.470 
2017_4,성신여대,10.1,10.067 ,7.819 ,0.033 ,2.281 
2017_4,수유,11.1,6.782 ,7.634 ,4.318 ,3.466 
2017_4,신림역,5.9,5.903 ,4.353 ,0.003 ,1.547 
2017_4,신촌,7.2,7.646 ,11.702 ,0.446 ,4.502 
2017_4,압구정,17.2,6.027 ,14.548 ,11.173 ,2.652 
2017_4,영등포,11,9.611 ,9.833 ,1.389 ,1.167 
2017_4,오류동역,8,4.310 ,5.022 ,3.690 ,2.978 
2017_4,왕십리,8.7,7.867 ,6.607 ,0.833 ,2.093 
2017_4,용산,8.1,9.232 ,7.941 ,1.132 ,0.159 
2017_4,이태원,11.8,9.933 ,12.413 ,1.867 ,0.613 
2017_4,잠실,8.5,12.169 ,7.455 ,3.669 ,1.045 
2017_4,장안동,7.6,8.195 ,7.349 ,0.595 ,0.251 
2017_4,종로,2.7,5.576 ,3.924 ,2.876 ,1.224 
2017_4,천호,5.3,7.140 ,4.820 ,1.840 ,0.480 
2017_4,청담,1.5,4.281 ,4.842 ,2.781 ,3.342 
2017_4,청량리,9.9,8.109 ,6.118 ,1.791 ,3.782 
2017_4,테헤란로,11.4,8.270 ,11.648 ,3.130 ,0.248 
2017_4,혜화동,9.6,9.843 ,5.319 ,0.243 ,4.281 
2017_4,홍대합정,4,6.617 ,6.413 ,2.617 ,2.413 
2017_4,화곡,11.5,8.585 ,10.968 ,2.915 ,0.532 
2018_1,건대입구,3.2,4.988 ,2.915 ,1.788 ,0.285 
2018_1,경희대,4.5,3.598 ,5.268 ,0.902 ,0.768 
2018_1,공덕역,5.3,7.327 ,5.295 ,2.027 ,0.005 
2018_1,광화문,1.1,1.907 ,1.939 ,0.807 ,0.839 
2018_1,군자,5.7,7.223 ,6.056 ,1.523 ,0.356 
2018_1,논현역,7.9,9.257 ,7.153 ,1.357 ,0.747 
2018_1,동대문,10.9,13.194 ,9.290 ,2.294 ,1.610 
2018_1,명동,6.4,7.002 ,10.709 ,0.602 ,4.309 
2018_1,목동,7.7,7.392 ,7.528 ,0.308 ,0.172 
2018_1,불광역,3.8,5.903 ,3.526 ,2.103 ,0.274 
2018_1,사당,0.2,3.573 ,1.114 ,3.373 ,0.914 
2018_1,서초,7.8,8.860 ,8.892 ,1.060 ,1.092 
2018_1,성신여대,12.4,8.629 ,9.969 ,3.771 ,2.431 
2018_1,수유,10.2,5.350 ,6.238 ,4.850 ,3.962 
2018_1,신림역,3.7,5.252 ,3.569 ,1.552 ,0.131 
2018_1,신촌,5.2,6.604 ,11.301 ,1.404 ,6.101 
2018_1,압구정,14.8,6.104 ,14.555 ,8.696 ,0.245 
2018_1,영등포,14.8,13.674 ,11.178 ,1.126 ,3.622 
2018_1,오류동역,8,6.176 ,4.850 ,1.824 ,3.150 
2018_1,왕십리,8.7,8.333 ,7.099 ,0.367 ,1.601 
2018_1,용산,9.5,8.882 ,9.512 ,0.618 ,0.012 
2018_1,이태원,22.4,10.148 ,16.679 ,12.252 ,5.721 
2018_1,잠실,13.2,11.103 ,9.761 ,2.097 ,3.439 
2018_1,장안동,5.9,7.601 ,6.401 ,1.701 ,0.501 
2018_1,종로,2,5.416 ,3.268 ,3.416 ,1.268 
2018_1,천호,6.9,7.331 ,5.869 ,0.431 ,1.031 
2018_1,청담,2.5,5.118 ,3.867 ,2.618 ,1.367 
2018_1,청량리,8.4,7.325 ,6.547 ,1.075 ,1.853 
2018_1,테헤란로,13,9.740 ,13.167 ,3.260 ,0.167 
2018_1,혜화동,9.6,8.625 ,6.199 ,0.975 ,3.401 
2018_1,홍대합정,8.3,7.841 ,8.125 ,0.459 ,0.175 
2018_1,화곡,8.4,8.688 ,8.844 ,0.288 ,0.444 
2018_2,건대입구,4.5,5.149 ,3.395 ,0.649 ,1.105 
2018_2,경희대,5.4,4.501 ,4.957 ,0.899 ,0.443 
2018_2,공덕역,5.3,6.452 ,5.487 ,1.152 ,0.187 
2018_2,광화문,1.1,2.311 ,1.480 ,1.211 ,0.380 
2018_2,군자,7.3,7.384 ,6.211 ,0.084 ,1.089 
2018_2,논현역,18.4,13.530 ,11.607 ,4.870 ,6.793 
2018_2,동대문,13.9,12.927 ,11.576 ,0.973 ,2.324 
