Date,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2015_4,답십리로69길,151326,75175,76151,10087,17592,32792,37773,35457,17624
2015_4,답십리로72길,165139,84886,80251,6885,19658,41226,41243,38146,17980
2015_4,망우로18가길,243410,116056,127351,17524,59304,48567,47669,44366,25981
2015_4,망우로18길,443196,204895,238299,31300,103920,89277,87878,80503,50315
2015_4,망우로21길,122922,59264,63658,7878,25375,23102,24049,23575,18943
2015_4,무학로16길,149549,90934,58614,506,17629,36282,41133,38241,15756
2015_4,무학로45길,172630,107804,64824,3853,37378,33654,37924,38511,21307
2015_4,사가정로13길,172825,80393,92432,16347,24633,32511,38752,36614,23965
2015_4,사가정로23가길,143966,73788,70180,8892,10206,31088,38363,38312,17109
2015_4,사가정로2길,153883,80716,73171,5230,18352,33076,39369,39175,18690
2015_4,서울시립대로16길,136483,62208,74272,11868,20740,27286,31083,29385,16120
2015_4,서울시립대로29길,341985,173373,168610,26959,92214,64058,60804,58147,39805
2015_4,서울시립대로4길,152069,77805,74262,3759,18721,34822,39055,38450,17267
2015_4,약령시로17길,399577,195137,204443,9904,40028,74676,90781,102257,81928
2015_4,왕산로32길,138637,68929,69708,1591,15709,26297,33227,37498,24314
2015_4,왕산로33길,152810,84767,68044,1345,10595,25860,33599,43646,37765
2015_4,왕산로43길,537006,260970,276035,31263,85299,93912,109884,117353,99288
2015_4,이문로42길,317054,147135,169918,21401,65129,59037,71615,65009,34861
2015_4,장한로14길,149935,82415,67517,3759,16971,39061,38282,35956,15906
2015_4,장한로25길,105434,52924,52510,5177,12112,24735,26839,24929,11643
2015_4,장한로26가길,63775,33093,30683,2458,6848,16362,16110,15100,6897
2015_4,장한로26길,403621,205248,198374,23350,47423,94510,99779,90662,47899
2015_4,장한로27가길,89171,43767,45406,5094,9960,20455,23190,21319,9155
2015_4,장한로27길,113221,55739,57482,5345,12137,26488,29978,27314,11960
2015_4,장한로5길,217692,128229,89464,2620,22641,49379,57103,57843,28105
2015_4,장한로8길,145973,88252,57724,1448,16120,34274,38402,38550,17184
2015_4,전농로29길,451893,203769,248123,43589,61265,87510,100982,95416,63131
2015_4,전농로3길,151846,66398,85448,9537,17826,31750,38104,36625,18004
2015_4,전농로4길,192683,109072,83609,4669,19905,41869,50184,50719,25334
2015_4,제기로21길,325319,169045,156273,13727,52317,68731,69377,74159,47003
2015_4,제기로5길,210229,119484,90745,7379,45223,44451,45990,44979,22206
2015_4,천장산로7길,112659,53741,58915,9100,41166,19906,19287,16378,6819
2015_4,천호대로12길,117732,72630,45101,378,13860,28741,32508,29789,12455
2015_4,천호대로17길,421604,236665,184943,4693,58188,96183,102310,102243,57999
2015_4,천호대로45길,219987,108980,111007,5957,28874,45809,52201,54245,32900
2015_4,천호대로77길,161560,100972,60591,790,17098,36791,42755,43783,20349
2015_4,천호대로97길,100178,63923,36254,650,9020,27268,27646,26525,9070
2015_4,한천로14길,343046,184701,158343,8702,33971,81092,88266,87495,43524
2015_4,한천로33길,104641,51083,53557,7948,10321,21445,26303,25423,13197
2015_4,한천로40길,156449,78796,77653,9052,12988,35337,41903,40534,16635
2015_4,한천로46길,199622,98975,100648,15587,14368,43661,54182,52044,19786
2015_4,휘경로14길,282909,136473,146434,21364,68116,54379,57495,50334,31222
2015_4,휘경로23길,369218,183702,185520,22372,82777,74897,81363,75106,32706
2015_4,휘경로2길,213373,103357,110013,18303,60667,37809,40766,34481,21344
2015_4,휘경로3길,920071,436643,483429,78538,262727,157873,167674,150710,102551
2015_4,겸재로29길,367965,182746,185219,16336,48363,71109,88621,94469,49065
2015_4,겸재로36길,281452,139618,141835,12037,31943,51347,69893,77959,38268
2015_4,겸재로54길,237027,112737,124292,16520,31882,41818,55982,62785,28042
2015_4,공릉로12가길,110187,53606,56583,4068,14091,24161,28674,28289,10903
